Strategy,Timeframe,avg_ret,avg_sh,avg_mdd,avg_wr,avg_pf,tickers
S04_SuperTrend,5m,4.542071428571428,0.18844285714285713,-5.130214285714286,57.857142857142854,2.104357142857143,14
S09_MACD,1m+4h,4.119142857142857,0.04437142857142857,-4.052714285714286,35.01428571428571,1.3555714285714286,14
S10_MACDHist,1m+4h,4.119142857142857,0.04437142857142857,-4.052714285714286,35.01428571428571,1.3555714285714286,14
S05_HullMA,1m+4h,3.966571428571428,0.05943571428571429,-4.010928571428571,41.300000000000004,1.4129285714285713,14
S17_FVG,15m,3.883857142857143,0.010685714285714286,-14.562928571428571,41.971428571428575,1.0804285714285713,14
S11_BB_Break,15m,3.876714285714286,0.06362857142857144,-7.560642857142858,41.707142857142856,1.2957142857142858,14
S15_ZScore,15m,3.6235,0.0383,-9.2735,55.114285714285714,1.1931428571428573,14
S17_FVG,1m+4h,3.553714285714286,0.07770714285714285,-3.480642857142857,37.67857142857143,1.4067142857142858,14
S25_PinBar,5m,3.360357142857143,0.0047071428571428585,-8.23242857142857,47.971428571428575,1.0940714285714286,14
S07_RSI_Trend,1m+4h,3.3488571428571428,0.028207142857142858,-3.644714285714286,25.142857142857142,1.3752142857142857,14
S01_EMA9_21,1m+4h,3.298214285714286,0.05355714285714286,-3.1022857142857143,30.45,1.5370000000000001,14
S12_BB_Rev,5m,3.2395714285714283,0.020521428571428572,-10.444928571428571,53.471428571428575,1.1322857142857143,14
S20_InsideBar,5m,3.231428571428571,0.009207142857142856,-8.530142857142858,48.08571428571429,1.0855714285714286,14
S03_GoldenCross,4h,2.9972857142857143,0.08234999999999999,-8.157357142857142,47.4,1.9197857142857142,14
S04_SuperTrend,4h,2.947642857142857,0.16389285714285715,-12.355785714285714,49.43571428571429,8.467857142857143,14
S06_Ichimoku,1m+4h,2.553071428571428,0.045421428571428564,-2.8487857142857145,26.74285714285714,1.5198571428571428,14
S08_RSI_Rev,5m,2.5446428571428568,0.040249999999999994,-8.99907142857143,53.857142857142854,1.3067857142857144,14
S03_GoldenCross,5m,2.3833571428571427,0.1009142857142857,-3.1555,51.885714285714286,2.8067142857142855,14
S02_EMA20_50,1m+4h,2.3452142857142855,0.08815714285714285,-1.851357142857143,40.98571428571428,1.8093571428571429,14
S25_PinBar,1m+4h,2.2415384615384615,0.20079999999999998,-1.872076923076923,57.54615384615385,10.04969230769231,13
S12_BB_Rev,15m,2.21,0.04107857142857143,-4.956857142857143,51.92142857142857,1.1821428571428572,14
S21_Engulfing,5m,2.0500714285714285,0.005892857142857144,-9.608642857142856,47.26428571428572,1.0456428571428573,14
S15_ZScore,1m+4h,1.9835714285714285,0.07277142857142857,-2.7327857142857144,65.85,1.2786428571428572,14
