Ticker,Name,Market,Timeframe,Strategy,Trades,WinRate%,TotalRet%,AvgRet%,ProfitFactor,MDD%,Sharpe,_tr
SOXX,반도체ETF,US,15m,S17_FVG,61,39.3,-2.867,-0.047,0.903,-14.608,-0.0359,-2.867
SOXX,반도체ETF,US,15m,S19_Monday,17,47.1,3.442,0.2025,1.459,-2.776,0.114,3.442
SOXX,반도체ETF,US,15m,S20_InsideBar,61,50.8,6.74,0.1105,1.324,-10.259,0.0862,6.74
SOXX,반도체ETF,US,15m,S21_Engulfing,63,46.0,1.74,0.0276,1.099,-2.802,0.032,1.74
SOXX,반도체ETF,US,15m,S22_VolBreak,37,43.2,-2.821,-0.0762,0.606,-2.407,-0.2045,-2.821
SOXX,반도체ETF,US,15m,S23_EMA_Ribbon,18,38.9,-4.433,-0.2463,0.417,-6.737,-0.3674,-4.433
SOXX,반도체ETF,US,15m,S24_CHoCH,65,63.1,10.579,0.1628,1.569,-4.886,0.1569,10.579
SOXX,반도체ETF,US,15m,S25_PinBar,51,58.8,5.933,0.1163,1.414,-5.515,0.1148,5.933
SOXX,반도체ETF,US,5m,FVG+OB,307,54.4,37.967,0.1237,2.049,-2.581,0.3029,37.967
SOXX,반도체ETF,US,5m,FVG+OB★,52,65.4,10.734,0.2064,2.37,-2.239,0.3876,10.734
SOXX,반도체ETF,US,5m,S01_EMA9_21,97,39.2,1.132,0.0117,1.038,-13.772,0.0106,1.132
SOXX,반도체ETF,US,5m,S02_EMA20_50,32,43.8,4.874,0.1523,1.488,-4.321,0.1066,4.874
SOXX,반도체ETF,US,5m,S03_GoldenCross,9,44.4,-0.359,-0.0399,0.903,-2.693,-0.04,-0.359
SOXX,반도체ETF,US,5m,S04_SuperTrend,13,61.5,4.375,0.3366,2.206,-1.072,0.3577,4.375
SOXX,반도체ETF,US,5m,S05_HullMA,142,51.4,36.825,0.2593,2.155,-4.021,0.2298,36.825
SOXX,반도체ETF,US,5m,S06_Ichimoku,90,37.8,6.956,0.0773,1.332,-9.397,0.0739,6.956
SOXX,반도체ETF,US,5m,S07_RSI_Trend,221,29.4,18.309,0.0828,1.444,-10.435,0.0919,18.309
SOXX,반도체ETF,US,5m,S08_RSI_Rev,32,56.2,-1.802,-0.0563,0.889,-10.191,-0.045,-1.802
SOXX,반도체ETF,US,5m,S09_MACD,153,43.1,25.353,0.1657,1.659,-7.381,0.1438,25.353
SOXX,반도체ETF,US,5m,S10_MACDHist,153,43.1,25.353,0.1657,1.659,-7.381,0.1438,25.353
SOXX,반도체ETF,US,5m,S11_BB_Break,110,47.3,14.108,0.1283,2.229,-1.598,0.1696,14.108
